package_id,customer_id,customer_type,delivery_date,delivery_days,package_value,package_weight_kg,delivery_cost,region,zone,provider,shipping_type,is_peak_season,is_profitable
PKG000060,CUST0973,frecuente,2024-08-25,1.5,0.45,2.35,2.22,Lima,Centro,FastCargo,Normal,0,0
PKG000061,CUST0958,nuevo,2024-06-14,2.4,0.48,2.45,1.45,Lima,Centro,EnvíaloYa,Express,0,0
PKG000062,CUST1753,nuevo,2024-12-11,4.8,0.5,4.98,4.08,Lima,Centro,RapidBox,Normal,1,0
PKG000063,CUST0613,frecuente,2024-08-05,9.7,3.09,1.57,2.41,San Martín,Oriente,FastCargo,Express,0,0
PKG000064,CUST0863,nuevo,2024-06-20,0.7,1.99,3.9,3.8,Cajamarca,Norte,PerúGo,Normal,0,0
PKG000065,CUST0187,frecuente,2024-11-06,1.6,1.36,4.82,1.94,Tacna,Sur,FastCargo,Express,1,0
PKG000066,CUST1233,frecuente,2024-03-26,2.7,0.3,0.22,1.84,La Libertad,Norte,RapidBox,Normal,0,0
PKG000067,CUST1263,nuevo,2024-12-07,1.9,0.06,1.38,3.96,Lambayeque,Norte,FastCargo,Normal,1,0
PKG000068,CUST1063,frecuente,2024-02-15,2.1,1.65,2.06,4.35,Piura,Norte,FastCargo,Normal,0,0
PKG000069,CUST1840,frecuente,2024-12-30,7.8,0.4,3.3,2.0,Amazonas,Sierra,EnvíaloYa,Normal,1,0
PKG000070,CUST0361,frecuente,2024-12-04,1.1,0.95,1.64,3.84,Arequipa,Sur,EnvíaloYa,Normal,1,0
PKG000071,CUST1569,frecuente,2024-05-01,5.7,0.77,2.61,1.28,Lima,Centro,PerúGo,Normal,0,0
PKG000072,CUST0764,frecuente,2024-01-04,1.9,0.54,1.25,1.97,Lima,Centro,LogisticX,Express,0,0
PKG000073,CUST1204,nuevo,2024-12-09,0.5,0.21,1.42,4.09,Lima,Centro,EnvíaloYa,Normal,1,0
PKG000074,CUST1369,nuevo,2024-11-26,5.0,0.83,1.44,1.6,Callao,Centro,FastCargo,Normal,1,0
PKG000075,CUST1026,premium,2024-11-28,8.3,0.65,2.12,2.42,Ucayali,Oriente,EnvíaloYa,Express,1,0
PKG000076,CUST1923,frecuente,2024-12-04,1.1,0.36,2.25,4.37,Amazonas,Sierra,FastCargo,Normal,1,0
PKG000077,CUST1271,premium,2024-02-15,0.8,3.06,1.45,3.76,Tacna,Sur,PerúGo,Normal,0,0
PKG000078,CUST1106,frecuente,2024-08-06,0.9,0.66,2.42,2.06,Pasco,Centro,RapidBox,Normal,0,0
PKG000079,CUST1234,frecuente,2024-03-11,0.5,1.32,1.1,4.46,Ica,Sur,RapidBox,Normal,0,0
PKG000080,CUST1830,frecuente,2024-12-15,4.9,0.32,1.5,1.86,Ucayali,Oriente,PerúGo,Express,1,0
PKG000081,CUST1214,frecuente,2024-11-16,0.5,0.48,0.77,4.23,Cajamarca,Norte,LogisticX,Express,1,0
PKG000082,CUST0717,frecuente,2024-07-20,2.8,0.88,0.95,4.03,Arequipa,Sur,FastCargo,Normal,0,0
PKG000083,CUST0679,frecuente,2024-02-08,0.8,0.88,1.93,2.28,Lima,Centro,LogisticX,Normal,0,0
PKG000084,CUST0199,frecuente,2024-07-08,2.4,0.31,2.79,2.2,Lima,Centro,LogisticX,Express,0,0
PKG000085,CUST0441,frecuente,2024-07-17,1.6,1.2,1.57,1.85,Lima,Centro,RapidBox,Normal,0,0
PKG000086,CUST1633,nuevo,2024-11-29,2.2,0.39,0.62,2.17,Pasco,Centro,FastCargo,Normal,1,0
PKG000087,CUST1916,nuevo,2024-11-17,2.0,1.68,1.55,4.02,Lima,Centro,FastCargo,Normal,1,0
PKG000088,CUST1353,frecuente,2024-12-18,4.3,1.94,3.57,3.9,Lima,Centro,RapidBox,Normal,1,0
PKG000089,CUST0930,frecuente,2024-10-15,1.9,0.77,3.17,2.31,Lima,Centro,EnvíaloYa,Normal,0,0
PKG000090,CUST0864,premium,2024-03-13,1.3,1.28,1.37,2.03,Amazonas,Sierra,FastCargo,Normal,0,0
PKG000091,CUST0152,frecuente,2024-11-27,3.6,1.2,2.03,4.23,Tacna,Sur,FastCargo,Normal,1,0
PKG000092,CUST1167,frecuente,2024-12-02,2.2,1.22,0.88,3.96,Piura,Norte,RapidBox,Normal,1,0
PKG000093,CUST1646,premium,2024-11-08,2.8,2.55,2.15,3.91,Lima,Centro,PerúGo,Express,1,0
PKG000094,CUST1986,nuevo,2024-12-04,1.7,2.02,1.68,4.29,Junín,Centro,LogisticX,Normal,1,0
PKG000095,CUST1060,frecuente,2024-10-28,2.0,0.3,1.19,4.24,San Martín,Oriente,EnvíaloYa,Normal,0,0
PKG000096,CUST1228,frecuente,2024-11-03,3.3,2.53,1.07,3.71,Lima,Centro,LogisticX,Normal,1,0
PKG000097,CUST0730,nuevo,2024-09-17,8.2,2.05,0.99,2.03,Ica,Sur,LogisticX,Normal,0,0
PKG000098,CUST1355,nuevo,2024-01-16,4.6,1.67,3.58,3.8,Loreto,Oriente,LogisticX,Normal,0,0
PKG000099,CUST0104,premium,2024-03-06,4.6,0.93,2.48,3.63,Callao,Centro,EnvíaloYa,Normal,0,0
PKG000100,CUST0665,nuevo,2024-01-20,0.5,0.64,0.72,3.67,Lambayeque,Norte,PerúGo,Normal,0,0
PKG000101,CUST0825,premium,2024-11-17,1.0,1.34,1.63,4.38,Lima,Centro,PerúGo,Normal,1,0
PKG000102,CUST1251,frecuente,2024-07-10,0.5,0.95,1.46,1.81,Lima,Centro,LogisticX,Express,0,0
PKG000103,CUST0030,frecuente,2024-11-02,0.5,0.73,3.77,1.55,Callao,Centro,LogisticX,Express,1,0
PKG000104,CUST1566,frecuente,2024-12-20,1.0,0.46,3.35,2.24,Callao,Centro,PerúGo,Normal,1,0
PKG000105,CUST0332,frecuente,2024-06-01,0.5,0.28,1.55,2.21,Huánuco,Centro,PerúGo,Normal,0,0
PKG000106,CUST0942,nuevo,2024-09-07,4.6,0.45,1.65,1.75,Junín,Centro,FastCargo,Normal,0,0
PKG000107,CUST1361,nuevo,2024-12-02,2.2,0.32,3.12,3.99,Lima,Centro,FastCargo,Normal,1,0
PKG000108,CUST0296,nuevo,2024-05-19,4.6,0.1,0.81,2.22,Lima,Centro,LogisticX,Express,0,0
PKG000109,CUST1196,frecuente,2024-02-16,2.9,1.31,2.61,2.0,Loreto,Oriente,FastCargo,Normal,0,0
PKG000110,CUST0311,frecuente,2024-06-25,3.9,0.82,1.16,4.31,Lima,Centro,FastCargo,Normal,0,0
PKG000111,CUST0644,premium,2024-04-08,4.8,0.22,0.72,3.86,Ica,Sur,LogisticX,Normal,0,0
PKG000112,CUST0197,frecuente,2024-12-23,3.8,1.3,0.96,1.94,Arequipa,Sur,FastCargo,Normal,1,0
PKG000113,CUST0712,nuevo,2024-12-08,0.5,1.03,3.56,1.53,Lambayeque,Norte,LogisticX,Normal,1,0
PKG000114,CUST0746,premium,2024-11-17,2.3,1.62,1.36,3.78,Tacna,Sur,PerúGo,Normal,1,0
PKG000115,CUST1975,premium,2024-12-16,0.7,1.17,1.97,1.45,Amazonas,Sierra,LogisticX,Normal,1,0
PKG000116,CUST0202,frecuente,2024-12-08,0.5,10.97,0.58,2.09,Madre de Dios,Oriente,RapidBox,Normal,1,0
PKG000117,CUST0889,frecuente,2024-04-23,5.5,1.81,1.08,1.95,Junín,Centro,RapidBox,Normal,0,0
PKG000118,CUST1167,nuevo,2024-12-18,3.4,0.81,0.58,1.48,Puno,Sur,RapidBox,Normal,1,0
PKG000119,CUST1405,premium,2024-11-05,2.1,1.59,2.17,3.85,Tacna,Sur,EnvíaloYa,Normal,1,0
PKG000120,CUST0253,premium,2024-12-08,4.4,0.39,2.06,1.95,Lima,Centro,PerúGo,Normal,1,0
PKG000121,CUST0247,premium,2024-12-19,14.3,0.44,2.56,2.04,Lima,Centro,PerúGo,Express,1,0
PKG000122,CUST0844,frecuente,2024-07-12,0.8,0.74,0.59,2.19,Ancash,Centro,LogisticX,Normal,0,0
PKG000123,CUST1169,nuevo,2024-03-08,5.1,0.86,2.13,1.74,La Libertad,Norte,RapidBox,Normal,0,0
PKG000124,CUST1596,nuevo,2024-05-19,2.1,0.1,1.57,1.9,La Libertad,Norte,RapidBox,Normal,0,0
PKG000125,CUST0271,frecuente,2024-09-17,2.1,0.2,1.14,4.08,San Martín,Oriente,PerúGo,Normal,0,0
PKG000126,CUST1531,frecuente,2024-12-09,1.6,0.9,2.53,2.14,Ica,Sur,RapidBox,Normal,1,0
PKG000127,CUST0471,premium,2024-12-15,1.8,0.51,2.4,1.99,Ayacucho,Sur,EnvíaloYa,Normal,1,0
PKG000128,CUST0858,nuevo,2024-01-05,2.8,0.46,2.02,4.51,Huánuco,Centro,LogisticX,Normal,0,0
PKG000129,CUST0828,nuevo,2024-11-02,6.5,0.66,3.87,2.24,Tumbes,Norte,RapidBox,Normal,1,0
PKG000130,CUST0604,frecuente,2024-09-11,4.6,1.53,0.72,2.45,Lima,Centro,FastCargo,Normal,0,0
PKG000131,CUST0569,frecuente,2024-05-15,4.8,1.33,0.78,4.48,Tacna,Sur,PerúGo,Express,0,0
PKG000132,CUST1249,frecuente,2024-03-14,0.7,2.59,1.94,2.18,Arequipa,Sur,LogisticX,Express,0,0
PKG000133,CUST1715,nuevo,2024-07-24,1.7,0.78,2.0,1.62,Lima,Centro,LogisticX,Express,0,0
PKG000134,CUST0119,frecuente,2024-12-25,2.6,1.58,3.03,2.13,Lima,Centro,LogisticX,Normal,1,0
PKG000135,CUST0816,frecuente,2024-07-16,5.2,1.48,2.16,2.01,Callao,Centro,EnvíaloYa,Normal,0,0
PKG000136,CUST0661,frecuente,2024-11-03,5.4,2.94,0.61,3.6,Ancash,Centro,RapidBox,Normal,1,0
PKG000137,CUST0360,nuevo,2024-11-25,0.9,0.34,1.4,2.2,Lima,Centro,EnvíaloYa,Normal,1,0
PKG000138,CUST1983,frecuente,2024-08-09,1.1,0.47,1.92,2.15,Lima,Centro,LogisticX,Normal,0,0
PKG000139,CUST0119,frecuente,2024-12-28,1.2,0.9,0.32,2.44,Arequipa,Sur,LogisticX,Normal,1,0
PKG000140,CUST0130,nuevo,2024-12-27,3.2,4.76,3.16,4.17,Lima,Centro,RapidBox,Normal,1,0
PKG000141,CUST0751,nuevo,2024-06-02,2.1,5.62,3.79,4.13,La Libertad,Norte,LogisticX,Express,0,0
PKG000142,CUST1165,frecuente,2024-10-30,4.1,0.81,0.74,2.18,Madre de Dios,Oriente,EnvíaloYa,Express,0,0
PKG000143,CUST1662,frecuente,2024-07-02,4.9,0.49,1.3,1.58,Ancash,Centro,PerúGo,Normal,0,0
PKG000144,CUST1202,frecuente,2024-06-22,2.5,0.65,0.8,3.79,Cajamarca,Norte,FastCargo,Express,0,0
PKG000145,CUST1978,premium,2024-01-23,0.5,3.2,1.43,1.78,Callao,Centro,PerúGo,Normal,0,1
PKG000146,CUST1661,frecuente,2024-11-14,1.6,1.53,2.59,3.75,Cusco,Sur,LogisticX,Normal,1,0
PKG000147,CUST0978,frecuente,2024-11-01,6.0,0.52,1.47,1.72,Ayacucho,Sur,RapidBox,Normal,1,0
PKG000148,CUST0400,nuevo,2024-02-01,5.2,0.2,2.03,1.8,Arequipa,Sur,PerúGo,Normal,0,0
PKG000149,CUST0920,premium,2024-06-18,1.8,0.42,2.09,2.08,Lima,Centro,RapidBox,Normal,0,0
PKG000150,CUST0862,nuevo,2024-12-20,1.6,0.42,2.62,1.84,Lima,Centro,LogisticX,Express,1,0
PKG000151,CUST0905,nuevo,2024-05-26,1.5,0.31,2.33,4.65,Ica,Sur,EnvíaloYa,Normal,0,0
PKG000152,CUST1787,nuevo,2024-03-29,4.5,0.32,1.22,1.75,La Libertad,Norte,PerúGo,Normal,0,0
PKG000153,CUST1794,nuevo,2024-10-25,3.8,0.57,0.59,1.63,Lima,Centro,RapidBox,Normal,0,0
PKG000154,CUST1937,frecuente,2024-12-30,5.5,0.41,3.13,4.24,Piura,Norte,LogisticX,Express,1,0
PKG000155,CUST1947,nuevo,2024-05-27,4.3,0.49,0.79,2.22,Callao,Centro,EnvíaloYa,Express,0,0
PKG000156,CUST0064,nuevo,2024-11-22,1.8,0.4,1.3,4.0,Lima,Centro,LogisticX,Normal,1,0
PKG000157,CUST1483,nuevo,2024-12-02,2.1,2.26,2.07,3.85,Lima,Centro,PerúGo,Normal,1,0
PKG000158,CUST1389,nuevo,2024-05-24,8.2,1.45,1.92,2.03,Lima,Centro,PerúGo,Normal,0,0
PKG000159,CUST0265,premium,2024-11-28,2.5,0.72,1.0,3.88,Lima,Centro,LogisticX,Normal,1,0
PKG000160,CUST1566,nuevo,2024-08-12,3.5,1.34,1.24,3.96,Lima,Centro,LogisticX,Normal,0,0
PKG000161,CUST0952,premium,2024-11-17,1.4,1.03,2.23,4.19,Lima,Centro,LogisticX,Express,1,0
PKG000162,CUST1759,nuevo,2024-11-17,7.8,2.39,2.2,2.09,Lima,Centro,PerúGo,Normal,1,0
PKG000163,CUST1365,premium,2024-11-05,5.3,0.43,5.89,1.93,Lima,Centro,EnvíaloYa,Normal,1,0
PKG000164,CUST1316,nuevo,2024-02-25,2.4,0.57,2.19,1.68,Arequipa,Sur,FastCargo,Normal,0,0
PKG000165,CUST1874,frecuente,2024-12-11,1.4,1.05,1.25,4.48,Arequipa,Sur,FastCargo,Normal,1,0
PKG000166,CUST0263,nuevo,2024-07-14,2.0,0.63,1.33,1.38,Arequipa,Sur,FastCargo,Normal,0,0
PKG000167,CUST1986,nuevo,2024-04-23,2.0,2.11,3.25,2.38,Arequipa,Sur,LogisticX,Express,0,0
PKG000168,CUST0865,premium,2024-01-25,1.0,1.6,2.17,2.33,Lima,Centro,LogisticX,Normal,0,0
PKG000169,CUST1748,premium,2024-11-12,1.5,0.79,0.91,2.02,Lima,Centro,LogisticX,Normal,1,0
PKG000170,CUST1478,frecuente,2024-11-22,1.0,0.53,3.77,1.68,San Martín,Oriente,PerúGo,Normal,1,0
PKG000171,CUST1178,premium,2024-01-11,3.2,0.7,0.62,1.93,Lima,Centro,LogisticX,Express,0,0
PKG000172,CUST1751,premium,2024-11-02,1.5,0.43,2.11,2.62,Arequipa,Sur,FastCargo,Normal,1,0
PKG000173,CUST1466,frecuente,2024-05-18,10.5,0.54,1.74,2.34,Lima,Centro,PerúGo,Normal,0,0
PKG000174,CUST1726,nuevo,2024-11-18,0.5,0.59,0.35,2.09,Cusco,Sur,FastCargo,Normal,1,0
PKG000175,CUST1655,premium,2024-04-16,1.6,0.33,1.93,1.47,Cajamarca,Norte,PerúGo,Normal,0,0
PKG000176,CUST1309,frecuente,2024-11-24,1.6,1.61,2.77,3.92,Arequipa,Sur,LogisticX,Normal,1,0
PKG000177,CUST0785,frecuente,2024-08-23,0.8,1.41,2.54,4.61,Lima,Centro,LogisticX,Express,0,0
PKG000178,CUST0384,nuevo,2024-12-24,0.9,0.43,0.66,4.5,Ucayali,Oriente,LogisticX,Express,1,0
PKG000179,CUST0800,frecuente,2024-03-24,6.5,5.71,0.85,2.25,Lima,Centro,RapidBox,Normal,0,0
PKG000180,CUST0196,nuevo,2024-07-27,0.7,0.42,1.01,2.1,Lima,Centro,PerúGo,Normal,0,0
PKG000181,CUST0391,frecuente,2024-03-10,3.7,1.33,1.16,1.84,Callao,Centro,FastCargo,Express,0,0
PKG000182,CUST0997,nuevo,2024-12-22,3.3,0.43,4.82,3.83,Lima,Centro,LogisticX,Express,1,0
PKG000183,CUST0870,nuevo,2024-12-17,3.2,0.51,4.09,4.24,Amazonas,Sierra,PerúGo,Normal,1,0
PKG000184,CUST1173,premium,2024-06-06,2.1,1.39,0.66,2.0,Arequipa,Sur,PerúGo,Normal,0,0
PKG000185,CUST0676,frecuente,2024-11-20,4.5,0.76,1.59,4.03,Lima,Centro,RapidBox,Normal,1,0
PKG000186,CUST0270,nuevo,2024-12-09,3.7,3.69,1.35,3.77,Junín,Centro,EnvíaloYa,Normal,1,0
PKG000187,CUST0329,nuevo,2024-11-07,0.8,0.22,2.53,3.79,Lima,Centro,FastCargo,Normal,1,0
PKG000188,CUST0284,nuevo,2024-11-04,1.5,0.14,0.86,2.42,Arequipa,Sur,LogisticX,Express,1,0
PKG000189,CUST0043,premium,2024-05-27,4.3,0.67,0.76,3.7,Cusco,Sur,FastCargo,Normal,0,0
PKG000190,CUST1997,premium,2024-02-26,2.4,4.55,2.54,1.8,Arequipa,Sur,FastCargo,Normal,0,1
PKG000191,CUST1011,premium,2024-12-19,2.3,1.02,2.21,2.1,Lima,Centro,RapidBox,Normal,1,0
PKG000192,CUST1930,nuevo,2024-12-19,5.1,0.32,2.16,2.35,Junín,Centro,FastCargo,Normal,1,0
PKG000193,CUST1424,frecuente,2024-11-17,0.7,3.56,1.88,4.28,Lima,Centro,PerúGo,Normal,1,0
PKG000194,CUST0785,premium,2024-07-25,3.8,0.23,1.73,1.91,Arequipa,Sur,FastCargo,Express,0,0
PKG000195,CUST1941,nuevo,2024-08-01,1.6,1.46,1.5,2.01,Ica,Sur,FastCargo,Express,0,0
PKG000196,CUST1516,frecuente,2024-11-28,2.1,0.17,1.83,3.39,Lima,Centro,PerúGo,Normal,1,0
PKG000197,CUST1257,frecuente,2024-12-19,2.9,1.14,4.72,2.07,Lima,Centro,RapidBox,Normal,1,0
PKG000198,CUST0929,nuevo,2024-12-18,1.1,0.32,2.34,4.14,Lima,Centro,EnvíaloYa,Express,1,0
PKG000199,CUST1252,nuevo,2024-12-05,0.6,1.57,1.78,1.55,Lima,Centro,PerúGo,Normal,1,0
PKG000200,CUST1008,frecuente,2024-11-18,3.0,1.5,1.58,4.24,Lambayeque,Norte,LogisticX,Normal,1,0
PKG000201,CUST0601,nuevo,2024-02-21,0.9,4.45,1.44,4.04,La Libertad,Norte,PerúGo,Normal,0,0
PKG000202,CUST0334,frecuente,2024-04-08,1.3,0.6,0.75,3.69,Lima,Centro,LogisticX,Normal,0,0
PKG000203,CUST1269,premium,2024-12-19,4.9,1.0,1.11,2.01,Cajamarca,Norte,EnvíaloYa,Normal,1,0
PKG000204,CUST1779,frecuente,2024-11-13,4.5,0.72,4.66,1.91,Junín,Centro,FastCargo,Express,1,0
PKG000205,CUST1510,nuevo,2024-01-06,2.1,1.57,1.61,2.12,Arequipa,Sur,FastCargo,Express,0,0
PKG000206,CUST0745,nuevo,2024-03-02,3.3,0.06,1.64,1.99,Arequipa,Sur,FastCargo,Express,0,0
PKG000207,CUST1052,frecuente,2024-11-20,3.3,0.39,3.77,3.68,Lima,Centro,LogisticX,Normal,1,0
PKG000208,CUST1867,nuevo,2024-01-04,1.3,5.49,3.99,1.59,Lima,Centro,RapidBox,Normal,0,1
PKG000209,CUST0962,premium,2024-04-08,2.7,1.24,1.77,4.29,Ica,Sur,RapidBox,Express,0,0
PKG000210,CUST1981,nuevo,2024-11-06,3.5,0.16,1.73,4.14,Junín,Centro,FastCargo,Normal,1,0
PKG000211,CUST0627,frecuente,2024-11-24,1.6,0.28,0.77,1.57,Ica,Sur,LogisticX,Normal,1,0
PKG000212,CUST0754,premium,2024-11-19,1.2,0.53,2.64,3.74,Cajamarca,Norte,LogisticX,Express,1,0
PKG000213,CUST0073,nuevo,2024-05-16,0.8,1.57,3.29,1.92,La Libertad,Norte,PerúGo,Normal,0,0
PKG000214,CUST1033,frecuente,2024-11-26,1.5,1.74,1.5,1.76,Lima,Centro,EnvíaloYa,Normal,1,0
PKG000215,CUST1330,nuevo,2024-05-24,4.6,1.23,0.82,1.88,Ancash,Centro,RapidBox,Normal,0,0
PKG000216,CUST1780,frecuente,2024-07-17,2.9,2.35,0.5,2.44,Callao,Centro,PerúGo,Normal,0,0
PKG000217,CUST1223,frecuente,2024-12-01,1.2,0.07,0.74,4.74,Loreto,Oriente,EnvíaloYa,Normal,1,0
PKG000218,CUST1234,nuevo,2024-11-19,5.2,0.2,5.02,3.77,Arequipa,Sur,EnvíaloYa,Normal,1,0
PKG000219,CUST1346,frecuente,2024-12-13,3.1,0.66,0.98,3.79,Arequipa,Sur,LogisticX,Normal,1,0
